Transport ID;Container ID;Container Type;Forwarder;Trucking Time Start;Ground Handler 1;Airport 1;Ground Handler 2;Airport 2;Ground Handler 3;Airport 3;Ground Handler 4;Airport 4;Ground Handler 5;Airport 5;Trucking Time End
5623;000-10128;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5624;000-10128;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5625;000-10125;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5626;000-10125;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5627;000-10126;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5628;000-10126;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5629;000-10124;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5630;000-10124;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5631;000-10123;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5632;000-10123;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5633;000-10122;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5634;000-10122;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5635;000-10121;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5636;000-10121;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5637;000-10120;770C;;04.09.2013;;;;; ##; ##; ##; ##; ##; ##;04.09.2013
5638;000-10120;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5639;000-10021;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5640;000-10021;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5641;000-10023;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5642;000-10023;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5643;000-10022;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5644;000-10022;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5645;000-10037;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5646;000-10037;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5647;000-10038;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5648;000-10038;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5649;000-10039;770C;;11.07.2013;;;;; ##; ##; ##; ##; ##; ##;11.07.2013
5650;000-10039;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5651;000-10138;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5652;000-10138;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5653;000-10139;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5654;000-10139;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5655;000-10133;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5656;000-10133;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5657;000-10132;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5658;000-10132;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5659;000-10135;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5660;000-10135;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5661;000-10134;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5662;000-10134;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5663;000-10131;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5664;000-10131;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5665;000-10030;770C;;09.07.2013;;;;; ##; ##; ##; ##; ##; ##;09.07.2013
5666;000-10030;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5667;000-10032;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5668;000-10032;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5669;000-10031;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5670;000-10031;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5671;000-10034;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5672;000-10034;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5673;000-10033;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5674;000-10033;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5675;000-10036;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5676;000-10036;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5677;000-10035;770C;;10.07.2013;;;;; ##; ##; ##; ##; ##; ##;10.07.2013
5678;000-10035;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5679;000-10288;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5680;000-10289;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5681;000-10286;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5682;000-10009;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5683;000-10009;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5684;000-10287;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5685;000-10006;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5686;000-10006;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5687;000-10284;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5688;000-10007;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5689;000-10007;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5690;000-10285;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5691;000-10004;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5692;000-10004;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5693;000-10282;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5694;000-10005;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5695;000-10005;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5696;000-10283;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5697;000-10149;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5698;000-10149;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5699;000-10280;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5700;000-10281;770C;;02.12.2013;;;;; ##; ##; ##; ##; ##; ##;02.12.2013
5701;000-10147;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5702;000-10147;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5703;000-10148;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5704;000-10148;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5705;000-10142;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5706;000-10142;770C;;21.10.2013;;;;; ##; ##; ##; ##; ##; ##;21.10.2013
5707;000-10141;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5708;000-10141;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5709;000-10140;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5710;000-10140;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5711;000-10146;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5712;000-10146;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5713;000-10145;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5714;000-10145;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
